Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
1,0,1,0,0,0,0,0,2,37,727,1
1,0.25,2,85,1,0,0,0,35,1309,5942,1
1,0,3,0,0,1,0,0,107,573,965,1
1,0,1,0,0,0,0,0,2,87,6138,1
1,0,0,0,0,1,0,0,3,31,4429,1
1,0,1,0,0,0,0,0,3,87,6241,1
1,0.083,2,0,0,1,0,0,147,60,1077,1
0,0,0,0,0,0,0,0,0,0,244,1
1,0.5,1,0,0,0,0,0,1,89,5166,1
0,0.182,2,36,0,1,0,0,55,685,1075,1
1,0.067,2,150,0,0,0,0,9,193,564,1
1,0,2,8,0,1,0,0,428,176,333,1
1,0,1,0,0,0,0,0,69,366,897,1
0,0.455,1,34,0,0,0,0,1,0,26,1
1,0,4,0,0,1,0,0,0,24,357,1
1,0.25,1,4,1,0,0,1,99,426,3280,1
0,0.636,1,0,0,1,0,0,0,25,7035,1
1,0,1,0,0,0,0,0,3,62,4162,1
1,0.267,2,0,0,0,0,0,13,62,6231,1
1,0,1,0,0,0,0,0,3,87,6199,1
1,0,1,0,0,0,0,0,2,68,6266,1
0,0.167,1,0,0,0,0,0,0,40,490,1
0,0.231,2,0,0,0,0,0,0,33,0,1
0,0.3,2,0,0,1,0,0,0,15,88,1
0,0.231,0,0,0,1,0,0,0,0,1,1
0,0.5,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,5,69,6075,1
1,0,0,0,0,1,0,0,4,21,2963,1
1,0,1,0,0,0,0,0,1,133,6613,1
1,0,0,0,0,0,0,0,2,47,6189,1
1,0.444,1,14,0,1,0,0,19,5,71,1
1,0,0,0,0,1,0,0,2,29,6412,1
0,0,2,11,0,1,0,0,0,0,50,1
0,0.222,1,0,0,0,0,0,1,50,1231,1
1,0,1,64,0,0,0,0,100,414,1910,1
1,0,0,0,0,0,0,0,2,84,5998,1
1,0,1,68,1,1,0,0,1031,513,7469,1
1,0,0,0,0,0,0,0,3,80,6100,1
1,0.222,2,69,1,1,0,0,536,195,1163,1
0,0,3,0,0,0,0,0,0,63,1253,1
1,0.4,1,0,0,0,0,0,1,7,181,1
1,0.25,0,0,0,1,0,0,0,512,821,1
1,0,2,31,0,0,0,0,0,23,39,1
1,0,0,0,0,0,0,0,2,97,6194,1
1,0.1,1,0,0,0,0,0,4,88,5248,1
0,0,1,0,0,1,0,0,75,3,589,1
1,0,1,0,0,0,0,0,3,80,6179,1
1,0.308,1,0,0,0,0,0,1,20,611,1
0,0,2,0,0,0,0,0,0,346,6481,1
1,0,0,0,0,0,0,0,4,84,6252,1
1,0,1,3,0,0,0,1,1,71,4383,1
1,0,1,0,0,0,0,0,2,74,4070,1
1,0,0,0,0,1,0,0,3,27,5687,1
1,0.111,3,48,0,0,0,1,0,949,4984,1
1,0.333,1,112,0,1,0,0,20,277,3638,1
1,0.364,3,0,0,1,0,0,124,183,7499,1
1,0,1,0,0,0,0,0,1,123,6519,1
1,0,0,0,0,1,0,0,3,19,3358,1
1,0,2,0,0,0,0,0,33,262,805,1
1,0.3,1,0,0,0,0,0,1,174,168,1
0,0,0,0,0,1,0,0,1,116,5594,1
0,0.538,4,0,0,0,0,0,0,11,480,1
1,0,1,0,0,0,0,0,3,60,2885,1
1,0,0,0,0,0,0,0,2,22,3802,1
1,0.091,2,0,0,1,0,0,1752,736,6722,1
1,0,2,137,0,0,0,0,67,656,744,1
1,0,0,0,0,0,0,0,2,76,6268,1
1,0,0,0,0,1,0,0,3,18,6368,1
1,0.333,2,0,0,1,0,0,2,0,2,1
1,0.176,2,0,0,1,0,0,1,61,1054,1
0,0.333,1,0,0,0,0,0,0,13,73,1
1,0,1,0,0,0,0,0,0,10,15,1
1,0,1,0,0,0,0,0,2,72,3322,1
1,0,1,0,0,0,0,0,2,65,3512,1
1,0,0,0,0,0,0,0,2,86,6224,1
1,0,0,0,0,0,0,0,0,98,654,1
1,0,3,113,0,1,0,0,1980,1183,4602,1
1,0,6,133,0,0,0,1,266,1058,2055,1
1,0,1,0,0,0,0,0,2,59,3613,1
1,0,0,20,0,1,0,0,1,10,1394,1
1,0.429,2,0,0,1,0,0,85,596,1456,1
1,0,0,0,0,0,0,0,4,77,6003,1
1,0,1,0,0,0,0,0,1,134,2978,1
0,0,3,0,0,0,0,0,0,11,529,1
1,0,1,0,0,0,0,0,3,81,2999,1
1,0.444,0,0,0,0,0,0,0,125,2528,1
1,0,1,48,0,0,0,0,695,140,325,1
1,0,0,0,0,0,0,0,8,80,6084,1
0,0.538,4,0,0,0,0,0,0,7,492,1
1,0,0,0,0,0,0,0,5,62,2390,1
0,0.353,2,0,0,0,0,0,0,15,19,1
1,0,2,10,0,1,0,0,39,123,763,1
1,0.364,0,0,0,0,0,0,652,1075,3760,1
1,0.417,1,45,0,0,0,0,0,5,47,1
1,0.364,2,16,0,1,0,0,70,191,493,1
0,0.364,2,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1098,6621,1
1,0,1,0,0,0,0,0,2,88,6165,1
1,0,0,0,0,1,0,0,3,29,6050,1
1,0.308,1,0,0,0,0,0,1,75,4350,1
1,0,0,12,0,1,0,0,0,59,1067,1
1,0,1,24,0,1,0,0,291,597,4460,1
1,0.714,0,0,0,0,0,0,0,164,6840,1
1,0,0,0,0,0,0,0,6,79,5962,1
1,0,2,14,0,1,0,0,281,129,630,1
1,0,1,0,0,0,0,0,2,86,6157,1
1,0.231,1,0,0,0,0,0,0,209,6502,1
1,0,0,0,0,1,0,0,1,21,244,1
1,0,0,0,0,0,0,0,2,16,2384,1
1,0,0,0,0,0,0,0,2,69,3342,1
1,0,1,0,0,0,0,0,2,64,5333,1
1,0.263,1,0,0,0,0,0,24,162,641,1
1,0,1,95,0,0,0,0,12,2028,6587,1
1,0,0,100,0,0,0,1,382,246,667,1
1,0,1,0,0,1,0,0,0,299,5720,1
1,0,0,0,0,1,0,0,1,1021,4033,1
1,0,1,0,0,0,0,0,2,71,6112,1
1,0,0,0,0,0,0,0,3,102,6222,1
1,0,1,0,0,0,0,0,3,58,1871,1
1,0,2,74,0,0,0,0,30,497,710,1
1,0,1,0,0,0,0,0,3,51,1589,1
0,0.6,4,0,0,0,0,0,0,11,493,1
0,0.286,2,0,0,1,0,0,0,0,0,1
0,0.125,1,0,0,0,0,0,0,5,518,1
0,0.3,1,0,0,0,0,0,0,0,0,1
1,0.2,3,150,0,0,0,1,4,459,2720,1
1,0,1,0,0,0,0,0,2,96,5561,1
1,0,0,0,0,1,0,0,5,26,2306,1
1,0,1,0,0,0,0,0,3,74,6166,1
1,0,1,0,0,0,0,0,2,71,6241,1
1,0,0,0,0,0,0,0,3,75,6234,1
1,0.25,1,0,0,0,0,0,1,16,398,1
1,0,1,0,0,0,0,0,0,90,6196,1
1,0,0,0,0,1,0,0,2,30,6166,1
1,0,1,0,0,0,0,0,3,82,6126,1
1,0,1,0,0,0,0,0,3,48,1794,1
1,0,4,131,1,0,0,1,533,4926,3590,1
1,0,1,0,0,0,0,0,1,14,520,1
1,0,0,0,0,0,0,0,3,42,6243,1
1,0,0,0,0,0,0,0,0,77,4722,1
1,0.4,1,21,0,0,0,0,4,13,333,1
1,0,0,0,0,0,0,0,6,177,7021,1
1,0,2,0,0,1,0,0,18,10,202,1
1,0,1,0,0,1,0,0,5,388,546,1
1,0.4,1,0,0,1,0,0,13,176,7369,1
1,0.333,2,0,0,1,0,0,4,1312,7486,1
1,0,0,0,0,0,0,0,3,91,6176,1
1,0,3,41,1,1,0,0,548,639,6704,1
1,0,1,0,0,0,0,0,4,75,6153,1
1,0.1,1,0,0,0,0,0,3,53,1045,1
1,0,0,126,0,1,0,0,11,1639,3049,1
1,0.214,1,0,0,1,0,0,2,0,178,1
1,0,0,0,0,0,0,0,2,63,3150,1
1,0,2,0,0,0,0,0,55,1136,2921,1
1,0,1,0,0,0,0,0,4,44,1960,1
1,0,1,0,0,0,0,0,3,57,2099,1
1,0,2,82,1,0,0,1,561,850,7498,1
1,0,2,17,0,1,0,0,24,212,460,1
1,0.167,2,0,0,0,0,0,1,296,2647,1
1,0,1,0,0,0,0,0,3,73,4458,1
1,0,0,0,0,0,0,0,3,75,6110,1
1,0,0,0,0,1,0,0,2,35,6127,1
1,0,2,0,0,0,0,0,0,2,1,1
1,0.077,2,0,0,0,0,0,1,26,136,1
1,0,0,0,0,1,0,0,3,25,6207,1
1,0.133,2,53,0,1,0,0,19,364,885,1
1,0,0,0,0,0,0,0,4,58,2817,1
1,0,0,0,0,1,0,0,9,21,6299,1
1,0,2,22,0,1,0,0,107,315,943,1
1,0,2,0,0,0,0,0,20,154,334,1
1,0,1,0,0,0,0,0,2,86,6299,1
0,0.308,1,0,0,0,0,0,0,44,1056,1
1,0,0,0,0,0,0,0,1,5,175,1
1,0,0,0,0,1,0,0,5,23,6131,1
1,0,1,24,1,0,0,0,1,143,6270,1
0,0,1,0,0,0,0,0,0,1,323,1
1,0,2,0,0,0,0,0,0,85,5893,1
1,0.2,2,0,0,1,0,0,119,169,447,1
1,0,1,0,0,0,0,0,2,74,4702,1
0,0.25,0,0,0,1,0,0,0,24,48,1
1,0,0,0,0,0,0,0,1,358,5773,1
1,0,1,0,0,0,0,0,2,73,3987,1
1,0.308,1,0,0,0,0,0,1,20,562,1
1,0,1,0,0,0,0,0,2,77,5795,1
1,0.111,1,80,0,0,0,0,0,36,672,1
1,0.444,2,0,0,1,0,0,239,2282,7494,1
1,0,1,0,0,0,0,0,7,98,4974,1
1,0.273,1,0,0,1,0,0,30,1408,1569,1
1,0,0,92,1,1,0,0,164,845,1537,1
1,0.091,1,0,0,0,0,0,22,92,6452,1
1,0,1,0,0,0,0,0,5,82,6061,1
1,0,1,148,0,1,0,0,66,60,2617,1
1,0,1,0,0,0,0,0,2,51,2962,1
1,0.2,2,64,0,1,0,0,6,135,3981,1
1,0,0,0,0,1,0,0,4,22,6212,1
0,0.267,1,0,0,0,0,0,0,14,12,1
0,0.083,1,0,0,0,0,0,0,42,20,1
0,0.267,1,0,0,0,0,1,0,0,0,1
